Brand,StoreName,Latitude,Longitude,Address
McDonald's,McDonald's Rawang DT,3.2833351,101.4729892,"Lot PT 678, Jalan Pusat Bandar, 48000, Rawang, Selangor, Malaysia"
McDonald's,McDonald's Petronas TPM DT,3.0541529,101.7049776,"Petronas Petrol Station, Technology Park Malaysia, Seremban KL-Highway, 50700, Kuala Lumpur, Malaysia"
McDonald's,McDonald's Lotuss Penang,5.381556,100.3144452,"1-1-01 & 1-1-02, Lot A3 - 4, Jalan Udini, 11700, Pulau Pinang, Malaysia"
McDonald's,McDonald's The Curve,3.1577484,101.611405,"Lot No GZF-05 & GZF-06, Ground Floor, The Curve, Mutiara Damansara, 47800, Petaling Jaya, Selangor, Malaysia"
McDonald's,McDonald's Equine Park DT,2.9956774,101.6701928,"Lot No. 2, Persiaran Equine, Taman Equine, 43300, Seri Kembangan, Selangor, Malaysia"
McDonald's,McDonald's Ulu Kelang,3.2049453,101.7577469,"Lot 517, 276 & 277, Batu 7, Lebuhraya Lingkaran Tengah 2, MRR2, 53300, Mukim Ulu Kelang, Selangor, Malaysia"
McDonald's,McDonald's Desa Aman Puri DT,3.2082005,101.6147217,"Stesyen Minyak Shell, Lot No. PT 1021 & PT 1022, Jalan Aman, Persiaran Perdana, Desa Aman Puri, 52100, Kepong, Selangor, Malaysia"
McDonald's,McDonald's Tan Sri Yaacob,1.501336,103.6539389,"No. 2, Jalan Jati, Taman Nusa Bestari Jaya, 81300, Johor Bahru, Johor, Malaysia"
McDonald's,McDonald's Kulai DT,1.6376721,103.6266769,"Lot 1150, Jalan Kasturi 36/41, Indahpura, 81000, Kulai, Johor Bahru, Johor, Malaysia"
McDonald's,McDonald's AEON Seremban 2,2.700705,101.9122163,"Lot G43, Ground Floor, Jusco Seremban 2, Shopping Centre, 112 Persiaran S2, Phase B1, Seremban 2, 70300, Seremban, Negeri Sembilan, Malaysia"
McDonald's,McDonald's UTM Skudai DT,1.5641073,103.6142892,"Lot PT 61054, Batu 11, Jalan Pontian, 81300, Skudai, Johor, Malaysia"
McDonald's,McDonald's NKVE DT,3.095268,101.535363,"Lot 15385 Seksyen PJU 1A, KM 15.4 Arah Utara, Lebuh Baru Lembah Kelang, 40150, Petaling Jaya, Selangor, Malaysia"
McDonald's,McDonald's Petronas Ampang DT,3.156748,101.7520628,"D/A Petronas Servis Stesen, Jalan Kolam Ayer Lama, Lot 36904 (PT 27423), Taman Dato' Ahmad Razali, 68000, Ampang, Selangor, Malaysia"
McDonald's,McDonald's Dataran Pahlawan,2.1899761,102.2504291,"Lot A02, Dataran Pahlawan Melaka Megamall, Jalan Merdeka, 75000, Melaka, Malaysia"
McDonald's,McDonald's Taman Sutera DT,1.5230131,103.6788701,"Lot PT 135893, Jalan Roda Utama, 81300, Skudai, Johor Bahru, Johor, Malaysia"
McDonald's,McDonald's Queensbay Mall,5.333048799999999,100.3065283,"LG-73, Lower Ground Floor, Queensbay Mall, 100, Persiaran Bayan Indah, 11900, Pulau Pinang, Malaysia"
McDonald's,McDonald's Bandar Tun Hussein Onn DT,3.05235,101.7654245,"Lot PT 18150 & PT 18151, Jalan Suasana 2/2, Bandar Tun Hussein Onn, 43200, Cheras, Selangor, Malaysia"
McDonald's,McDonald's Jusco Balakong,2.9952482,101.6746319,"Lot G51, Ground Floor, Jusco Balakong Shopping Centre, 43200, Balakong, Selangor, Malaysia"
McDonald's,McDonald's Sri Manjung DT,4.2116964,100.6814072,"Lot 114, Jalan Lumut, Setiawangsa, 32010, Sri Manjung, Perak, Malaysia"
McDonald's,McDonald's Jalan Gopeng DT,4.5166836,101.1365903,"PN684, Mukim Ulu Kinta, Jalan Gopeng, 31350, Ipoh, Perak, Malaysia"
McDonald's,McDonald's Section 22 Shah Alam DT,3.040368,101.5475029,"No.2, Jalan 22/6, Seksyen 22, 40300, Shah Alam, Selangor, Malaysia"
McDonald's,McDonald's Petronas Melati DT,3.221806,101.725659,"Lot 3644 HS (D) 70344 &, Lot PT 8081 HS (D) 107241, Taman Melati, Mukim Setapak, 53100, Kuala Lumpur, Malaysia"
McDonald's,McDonald's Banting DT,2.8129823,101.5081132,"No. 2 Jalan Cemerlang 4, 42700 Banting, Selangor, Malaysia"
McDonald's,McDonald's AEON Bukit Tinggi,2.9951054,101.4439103,"AEON Bukit Tinggi Shopping Centre, No. 1, Persiaran Batu Nilam 1/KS6, Bandar Bukit Tinggi 2, 41200, Klang, Selangor, Malaysia"
McDonald's,McDonald's Caltex Farlim DT,5.387483,100.276876,"Caltex Farlim Petrol station, Lot No.9435, Mukim 13, North East District, 11900, Pulau Pinang, Malaysia"
McDonald's,McDonald's Melaka Sentral,2.221025,102.249067,"Plaza Melaka Sentral, Lot No. 59, Zone D, Ground Floor, 75000, Melaka, Malaysia"
McDonald's,McDonald's 1 Borneo Mall,6.0353914,116.1294805,"Concourse Floor, 1 Borneo Mall, Lot No. C215 - C218 & Part of D219, 88871, Kota Kinabalu, Sabah, Malaysia"
McDonald's,McDonald's Rahman Putra DT,3.2243457,101.5548983,"No. 4, Lot 33428, Jalan BRP 3/3, Bukit Rahman Putra, Seksyen U20, 40160, Shah Alam, Selangor, Malaysia"
